"id","appID","day","data","user_id","lite"
"935","55","2018-05-03","{""breaks"":-2,""periods"":-13785000}","58","f"
"936","56","2018-05-04","{""breaks"":-2,""periods"":-13785000}","58","f"
"937","57","2018-05-05","{""breaks"":-2,""periods"":-13785000}","58","f"
"938","58","2018-05-06","{""breaks"":-2,""periods"":-13785000}","58","f"
"939","59","2018-05-07","{""breaks"":-2,""periods"":-13785000}","58","f"
"940","20","2018-05-07","{""breaks"":-3,""periods"":-6945000}","39","f"
"941","90","2018-05-08","{""breaks"":1,""periods"":0}","52","f"
"942","91","2018-05-08","{""breaks"":1,""periods"":0}","52","f"
"943","36","2018-05-08","{""breaks"":-1,""periods"":-4035000}","53","f"
"944","37","2018-05-08","{""breaks"":-1,""periods"":-4035000}","53","f"
"945","38","2018-05-09","{""breaks"":-1,""periods"":-4035000}","53","f"
"946","39","2018-05-09","{""breaks"":-1,""periods"":-4035000}","53","f"
"947","40","2018-04-06","{""breaks"":0,""periods"":-3750000}","53","f"
"948","41","2018-04-06","{""breaks"":0,""periods"":-3750000}","53","f"
"949","42","2018-04-07","{""breaks"":0,""periods"":-3750000}","53","f"
"950","43","2018-04-07","{""breaks"":0,""periods"":-3750000}","53","f"
"951","44","2018-04-08","{""breaks"":0,""periods"":-3750000}","53","f"
"952","45","2018-04-08","{""breaks"":0,""periods"":-3750000}","53","f"
"953","46","2018-04-09","{""breaks"":0,""periods"":-3750000}","53","f"
"954","47","2018-04-09","{""breaks"":0,""periods"":-3750000}","53","f"
"955","48","2018-04-10","{""breaks"":2,""periods"":-3750000}","53","f"
"956","49","2018-04-10","{""breaks"":2,""periods"":-3750000}","53","f"
"957","50","2018-04-11","{""breaks"":1,""periods"":5340000}","53","f"
"958","51","2018-04-11","{""breaks"":2,""periods"":5340000}","53","f"
"959","52","2018-03-09","{""breaks"":2,""periods"":7980000}","53","f"
"960","53","2018-03-09","{""breaks"":2,""periods"":7980000}","53","f"
"961","54","2018-03-10","{""breaks"":-3,""periods"":-11745000}","53","f"
"962","55","2018-03-10","{""breaks"":-3,""periods"":-11745000}","53","f"
"963","56","2018-03-11","{""breaks"":-3,""periods"":-11745000}","53","f"
"964","57","2018-03-11","{""breaks"":-3,""periods"":-11745000}","53","f"
"965","58","2018-03-12","{""breaks"":3,""periods"":-11745000}","53","f"
"966","59","2018-03-12","{""breaks"":3,""periods"":-11745000}","53","f"
"967","60","2018-03-17","{""breaks"":-1,""periods"":-9090000}","53","f"
"968","61","2018-03-17","{""breaks"":-1,""periods"":-9090000}","53","f"
"969","62","2018-03-18","{""breaks"":-1,""periods"":-9090000}","53","f"
"970","63","2018-03-18","{""breaks"":-1,""periods"":-9090000}","53","f"
"971","64","2018-03-20","{""breaks"":0,""periods"":-9060000}","53","f"
"972","65","2018-03-20","{""breaks"":0,""periods"":-9060000}","53","f"
"973","66","2018-04-05","{""breaks"":0,""periods"":-3750000}","53","f"
"974","67","2018-04-05","{""breaks"":0,""periods"":-3750000}","53","f"
"975","68","2018-04-13","{""breaks"":-1,""periods"":-150000}","53","f"
"976","69","2018-04-13","{""breaks"":-1,""periods"":-150000}","53","f"
"977","70","2018-04-14","{""breaks"":-3,""periods"":-4065000}","53","f"
"978","71","2018-04-14","{""breaks"":-3,""periods"":-4065000}","53","f"
"979","72","2018-04-15","{""breaks"":-3,""periods"":-4065000}","53","f"
"980","73","2018-04-15","{""breaks"":-3,""periods"":-4065000}","53","f"
"981","74","2018-04-17","{""breaks"":-2,""periods"":-8295000}","53","f"
"982","75","2018-04-17","{""breaks"":-2,""periods"":-8295000}","53","f"
"983","76","2018-04-18","{""breaks"":-2,""periods"":-8295000}","53","f"
"984","77","2018-04-18","{""breaks"":-2,""periods"":-8295000}","53","f"
"985","78","2018-04-19","{""breaks"":-2,""periods"":-8295000}","53","f"
"986","79","2018-04-19","{""breaks"":-2,""periods"":-8295000}","53","f"
