"id","appID","day","data","rewarded","user_id","lite"
"183","6","2018-01-05","{""type"":""break"",""breakCountPref"":2,""breakCount"":5}","t","32","f"
"184","26","2017-12-21","{""type"":""break"",""breakCountPref"":1,""breakCount"":3}","t","41","f"
"185","7","2018-01-08","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"186","27","2018-01-08","{""type"":""break"",""breakCountPref"":1,""breakCount"":2}","t","41","f"
"187","6","2018-01-08","{}","f","39","f"
"188","15","2018-01-08","{}","f","42","f"
"189","8","2018-01-09","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","32","f"
"190","28","2018-01-09","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"191","16","2018-01-09","{}","f","42","f"
"192","15","2018-01-08","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","29","f"
"193","7","2018-01-09","{}","f","39","f"
"194","9","2018-01-10","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"195","10","2018-01-11","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","32","f"
"196","8","2018-01-10","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","39","f"
"197","1","2018-01-11","{}","f","30","f"
"198","11","2018-01-12","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"199","9","2018-01-12","{""type"":""break"",""breakCountPref"":2,""breakCount"":5}","t","39","f"
"200","1","2018-01-11","{}","f","42","f"
"201","29","2018-01-10","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"202","30","2018-01-12","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"203","12","2018-01-15","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"204","31","2018-01-15","{}","f","41","f"
"205","2","2018-01-15","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","42","f"
"206","2","2018-01-16","{}","f","30","f"
"207","13","2018-01-16","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"208","3","2018-01-16","{}","f","42","f"
"209","10","2018-01-15","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","39","f"
"211","1","2018-01-16","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","29","f"
"212","1","2018-01-11","{}","f","44","f"
"213","32","2018-01-17","{}","f","41","f"
"214","4","2018-01-17","{}","f","42","f"
"216","2","2018-01-17","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","29","f"
"217","14","2018-01-17","{}","f","32","f"
"218","15","2018-01-18","{}","f","32","f"
"219","11","2018-01-17","{}","f","39","f"
"221","33","2018-01-18","{}","f","41","f"
"222","3","2018-01-19","{}","f","30","f"
"223","1","2018-01-19","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"225","5","2018-01-18","{}","f","42","f"
"226","3","2018-01-19","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","29","f"
"227","4","2018-01-22","{}","f","30","f"
"228","2","2018-01-22","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"229","34","2018-01-19","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"230","4","2018-01-22","{}","f","29","f"
"231","5","2018-01-23","{}","f","30","f"
"232","35","2018-01-23","{""type"":""break"",""breakCountPref"":1,""breakCount"":2}","t","41","f"
"233","3","2018-01-23","{}","f","32","f"
"235","12","2018-01-19","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","39","f"
"236","5","2018-01-23","{}","f","29","f"
"237","13","2018-01-24","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","39","f"
"238","1","2018-01-22","{}","f","42","f"
"239","4","2018-01-24","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"241","6","2018-01-24","{}","f","29","f"
"242","6","2018-01-25","{}","f","30","f"
"243","5","2018-01-25","{}","f","32","f"
"244","14","2018-01-25","{}","f","39","f"
"245","7","2018-01-26","{}","f","30","f"
"246","15","2018-01-26","{}","f","39","f"
"247","6","2018-01-26","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","32","f"
"248","7","2018-01-29","{}","f","32","f"
"249","36","2018-01-24","{""type"":""break"",""breakCountPref"":1,""breakCount"":5}","t","41","f"
"250","8","2018-01-30","{}","f","30","f"
"251","37","2018-01-30","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"252","8","2018-01-30","{}","f","32","f"
"253","1","2018-01-30","{}","f","29","f"
"254","38","2018-01-31","{""type"":""break"",""breakCountPref"":1,""breakCount"":3}","t","41","f"
"256","9","2018-01-31","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","32","f"
"257","2","2018-01-31","{}","f","29","f"
"258","39","2018-02-01","{""type"":""break"",""breakCountPref"":1,""breakCount"":5}","t","41","f"
"259","10","2018-02-01","{}","f","32","f"
"261","3","2018-02-01","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","29","f"
"262","2","2018-01-30","{}","f","42","f"
"265","40","2018-02-02","{""type"":""break"",""breakCountPref"":1,""breakCount"":3}","t","41","f"
"267","9","2018-01-31","{}","f","30","f"
"268","1","2018-02-06","{}","f","29","f"
"269","2","2018-02-06","{}","f","29","f"
"272","3","2018-02-05","{}","f","42","f"
"273","1","2018-02-06","{}","f","48","f"
"274","2","2018-02-06","{}","f","48","f"
"275","10","2018-02-06","{}","f","30","f"
"276","16","2018-01-29","{}","f","39","f"
"277","4","2018-02-07","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","42","f"
"278","5","2018-02-07","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","42","f"
"281","6","2018-01-25","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","42","f"
"282","7","2018-01-25","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","42","f"
"283","8","2018-01-29","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","42","f"
"284","9","2018-01-29","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","42","f"
"285","1","2018-02-07","{}","f","49","f"
"286","1","2018-02-08","{}","f","26","t"
"287","1","2018-02-08","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","41","f"
"288","2","2018-02-08","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","41","f"
"289","17","2018-02-08","{}","f","39","f"
"290","2","2018-02-09","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","26","t"
"291","10","2018-02-08","{}","f","42","f"
"292","11","2018-02-09","{}","f","30","f"
"293","12","2018-02-09","{}","f","30","f"
"294","3","2018-02-10","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","26","t"
"295","2","2018-02-08","{}","f","49","f"
"296","18","2018-02-09","{}","f","39","f"
"297","3","2018-02-09","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","41","f"
"298","4","2018-02-09","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","41","f"
"299","11","2018-02-08","{}","f","32","f"
"300","12","2018-02-09","{}","f","32","f"
"303","3","2018-02-12","{""type"":""break"",""breakCountPref"":2,""breakCount"":5}","t","49","f"
"304","5","2018-02-12","{}","f","41","f"
"305","13","2018-02-12","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"306","4","2018-02-11","{}","f","49","f"
"307","1","2018-02-13","{""type"":""break"",""breakCountPref"":2,""breakCount"":6}","t","51","t"
"308","13","2018-02-13","{}","f","30","f"
"309","14","2018-02-13","{}","f","30","f"
"310","5","2018-02-13","{}","f","49","f"
"311","1","2018-02-13","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","50","t"
"312","19","2018-02-12","{}","f","39","f"
"313","20","2018-02-12","{}","f","39","f"
"314","14","2018-02-13","{}","f","32","f"
"315","15","2018-02-14","{}","f","30","f"
"316","16","2018-02-14","{}","f","30","f"
"317","2","2018-02-14","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","50","t"
"318","6","2018-02-13","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","41","f"
"319","2","2018-02-14","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","51","t"
"320","17","2018-02-15","{}","f","30","f"
"321","18","2018-02-15","{}","f","30","f"
"322","1","2018-02-15","{}","f","53","t"
"323","1","2018-02-15","{}","f","54","t"
"324","15","2018-02-14","{}","f","32","f"
"325","2","2018-02-16","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","53","t"
"326","1","2018-02-14","{}","f","52","t"
"327","2","2018-02-15","{}","f","52","t"
"328","3","2018-02-15","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","50","t"
"329","1","2018-02-16","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","55","t"
"330","21","2018-02-14","{}","f","39","f"
"332","16","2018-02-16","{}","f","32","f"
"333","1","2018-02-16","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","54","t"
"334","4","2018-02-19","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","50","t"
"335","1","2018-02-19","{}","f","39","f"
"336","2","2018-02-19","{}","f","39","f"
"337","7","2018-02-16","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","41","f"
"338","8","2018-02-16","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","41","f"
"339","3","2018-02-19","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","52","t"
"340","5","2018-02-20","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","50","t"
"341","3","2018-02-15","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","51","t"
"344","1","2018-02-20","{}","f","29","f"
"345","3","2018-02-20","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","53","t"
"346","4","2018-02-20","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","52","t"
"347","3","2018-02-20","{}","f","39","f"
"348","6","2018-02-21","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","50","t"
"349","2","2018-02-21","{}","f","29","f"
"350","4","2018-02-21","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","53","t"
"351","1","2018-02-21","{}","f","30","f"
"352","2","2018-02-19","{}","f","55","t"
"353","3","2018-02-20","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","55","t"
"354","4","2018-02-21","{}","f","55","t"
"355","5","2018-02-22","{}","f","55","t"
"356","3","2018-02-23","{}","f","29","f"
"357","5","2018-02-21","{}","f","52","t"
"358","4","2018-02-25","{}","f","29","f"
"359","2","2018-02-21","{}","f","54","t"
"360","3","2018-02-22","{}","f","54","t"
"361","6","2018-02-23","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","55","t"
"362","2","2018-02-26","{}","f","30","f"
"363","3","2018-02-26","{}","f","30","f"
"364","6","2018-02-26","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","52","t"
"365","4","2018-02-26","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","54","t"
"366","5","2018-02-26","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","53","t"
"367","7","2018-02-22","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","50","t"
"368","9","2018-02-26","{}","f","41","f"
"369","17","2018-02-26","{}","f","32","f"
"370","5","2018-02-26","{}","f","29","f"
"371","1","2018-02-26","{}","f","26","t"
"372","4","2018-02-27","{}","f","30","f"
"373","1","2018-02-27","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","50","f"
"374","2","2018-02-27","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","50","f"
"375","10","2018-02-27","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","41","f"
"376","1","2018-02-28","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","55","f"
"377","18","2018-02-27","{}","f","32","f"
"378","19","2018-02-28","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"379","3","2018-02-28","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","50","f"
"380","1","2018-02-28","{}","f","54","f"
"381","2","2018-02-28","{}","f","54","f"
"382","5","2018-02-28","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","30","f"
"384","3","2018-03-01","{}","f","54","f"
"385","4","2018-03-01","{}","f","54","f"
"386","20","2018-02-02","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"387","21","2018-03-01","{}","f","32","f"
"388","2","2018-03-01","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","55","f"
"389","22","2018-03-02","{}","f","32","f"
"390","23","2018-03-03","{}","f","32","f"
"391","24","2018-03-04","{}","f","32","f"
"392","5","2018-03-02","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","54","f"
"393","4","2018-03-05","{}","f","50","f"
