"id","appID","timestamp","status","user_id","lite"
"3190","130","2018-04-10 18:44:02.074+00","t","54","f"
"3191","56","2018-04-11 07:30:14.943+00","t","53","f"
"3192","30","2018-04-11 07:57:06.214+00","t","41","f"
"3193","101","2018-04-11 07:59:43.356+00","t","50","f"
"3194","51","2018-04-11 08:12:01.353+00","t","52","f"
"3195","102","2018-04-11 09:59:48.556+00","f","50","f"
"3196","103","2018-04-11 09:59:49.883+00","t","50","f"
"3197","104","2018-04-11 12:51:55.081+00","f","50","f"
"3198","105","2018-04-11 12:51:56.474+00","t","50","f"
"3199","57","2018-04-11 15:08:20.31+00","f","53","f"
"3200","52","2018-04-11 15:56:07.291+00","f","52","f"
"3201","31","2018-04-11 16:34:44.125+00","f","41","f"
"3202","58","2018-04-12 07:00:30.291+00","t","53","f"
"3203","41","2018-04-12 07:38:50.904+00","t","58","f"
"3204","53","2018-04-12 07:55:07.063+00","t","52","f"
"3205","106","2018-04-12 07:59:31.587+00","t","50","f"
"3206","54","2018-04-12 11:09:40.408+00","f","52","f"
"3207","55","2018-04-12 11:09:44.413+00","t","52","f"
"3208","56","2018-04-12 15:55:41.374+00","f","52","f"
"3209","42","2018-04-12 17:18:31.994+00","f","58","f"
"3210","131","2018-04-12 20:56:54.586+00","f","54","f"
"3211","59","2018-04-13 07:37:31.199+00","f","53","f"
"3212","60","2018-04-13 07:37:49.12+00","t","53","f"
"3213","43","2018-04-13 07:48:56.381+00","t","58","f"
"3214","57","2018-04-13 07:49:35.812+00","t","52","f"
"3215","44","2018-04-13 07:49:58.031+00","f","58","f"
"3216","45","2018-04-13 07:51:01.24+00","t","58","f"
"3217","58","2018-04-13 08:12:16.048+00","f","52","f"
"3218","59","2018-04-13 08:30:02.953+00","t","52","f"
"3219","60","2018-04-13 14:50:31.503+00","f","52","f"
"3220","46","2018-04-13 17:15:00.044+00","f","58","f"
"3221","132","2018-04-15 10:29:24.914+00","t","54","f"
"3222","133","2018-04-15 12:28:15.995+00","f","54","f"
"3223","134","2018-04-15 12:29:03.298+00","t","54","f"
"3224","61","2018-04-16 06:52:05.586+00","t","53","f"
"3225","135","2018-04-15 23:30:21.529+00","t","54","f"
"3226","136","2018-04-15 23:31:03.755+00","f","54","f"
"3227","137","2018-04-16 07:52:51.858+00","t","54","f"
"3228","19","2018-04-16 07:54:54.45+00","t","51","f"
"3229","47","2018-04-16 08:02:09.479+00","t","58","f"
"3230","48","2018-04-16 07:30:25.274+00","t","55","f"
"3231","107","2018-04-16 08:06:06.002+00","t","50","f"
"3232","62","2018-04-16 15:01:09.055+00","f","53","f"
"3233","48","2018-04-16 16:10:31.742+00","f","58","f"
"3234","138","2018-04-16 17:04:50.747+00","f","54","f"
"3235","49","2018-04-16 17:25:13.569+00","f","55","f"
"3236","49","2018-04-17 06:19:03.185+00","t","58","f"
"3237","50","2018-04-17 06:50:33.668+00","t","55","f"
"3238","20","2018-04-17 06:05:51.539+00","f","51","f"
"3239","21","2018-04-17 07:49:03.075+00","t","51","f"
"3240","108","2018-04-17 07:53:33.318+00","t","50","f"
"3241","109","2018-04-17 11:50:33.772+00","f","50","f"
"3242","110","2018-04-17 11:50:35.755+00","t","50","f"
"3243","50","2018-04-17 13:25:23.302+00","f","58","f"
"3244","51","2018-04-17 13:25:25.095+00","t","58","f"
"3245","22","2018-04-17 15:40:15.278+00","f","51","f"
"3246","51","2018-04-17 16:18:37.336+00","f","55","f"
"3247","52","2018-04-18 07:15:43.456+00","t","55","f"
"3248","111","2018-04-18 07:38:54.717+00","t","50","f"
"3249","8","2018-04-18 11:20:50.115+00","t","39","f"
"3250","53","2018-04-18 15:23:09.745+00","f","55","f"
"3251","9","2018-04-18 15:27:42.686+00","f","39","f"
"3252","112","2018-04-19 07:25:15.748+00","t","50","f"
"3253","10","2018-04-19 08:13:08.75+00","t","39","f"
"3254","32","2018-04-19 08:28:02.729+00","t","41","f"
"3255","16","2018-04-19 09:51:55.846+00","t","57","f"
"3256","11","2018-04-19 14:58:51.073+00","f","39","f"
"3257","12","2018-04-20 07:42:32.916+00","t","39","f"
"3258","13","2018-04-20 07:42:38.953+00","f","39","f"
"3259","14","2018-04-20 07:42:48.964+00","t","39","f"
"3260","54","2018-04-20 06:25:24.899+00","t","55","f"
"3261","15","2018-04-20 08:42:51.425+00","f","39","f"
"3262","16","2018-04-20 08:42:58.246+00","t","39","f"
"3263","17","2018-04-20 09:26:10.921+00","f","39","f"
"3264","18","2018-04-20 09:26:13.206+00","t","39","f"
"3265","52","2018-04-17 14:28:37.415+00","f","58","f"
"3266","53","2018-04-20 09:58:16.445+00","t","58","f"
"3267","54","2018-04-20 09:58:17.605+00","f","58","f"
"3268","61","2018-04-16 06:50:08.988+00","t","52","f"
"3269","62","2018-04-16 15:45:14.074+00","f","52","f"
"3270","63","2018-04-17 06:55:11.901+00","t","52","f"
"3271","64","2018-04-17 09:58:17.298+00","f","52","f"
"3272","65","2018-04-17 10:02:44.665+00","t","52","f"
"3273","66","2018-04-17 15:47:53.188+00","f","52","f"
"3274","67","2018-04-18 06:36:53.871+00","t","52","f"
