"id","appID","timestamp","start","duration","user_id","active","details","lite"
"198","10","2018-03-28 09:28:30.964+00","2018-03-28 09:15:53.15+00","60000","58","f","kitchen to get a drink","f"
"199","15","2018-03-28 10:09:48.63+00","2018-03-28 10:08:57.06+00","0","52","f","I've gotten up to the kitchen and toilet twice in the last 30 Mon but not registered as a break","f"
"200","16","2018-03-28 10:17:43.681+00","2018-03-28 10:17:19.864+00","0","52","f","just went for a walk but this hasn't been registered","f"
"201","17","2018-03-28 10:19:31.807+00","2018-03-28 10:18:48.987+00","0","52","f","closed app, turned off Bluetooth. then turned all back on. ","f"
"202","11","2018-03-28 10:33:33.786+00","2018-03-28 10:33:19.987+00","0","58","f","printer visit","f"
"203","18","2018-03-28 12:15:48.431+00","2018-03-28 12:15:13.301+00","0","52","f","I've been out for lunch, took my phone but it didn't register the break and walking","f"
"204","19","2018-03-28 13:01:57.626+00","2018-03-28 13:01:18.287+00","0","52","f","the tracking is not working today.ive turn it off and on again.","f"
"205","20","2018-03-29 07:29:26.097+00","2018-03-29 07:28:25.143+00","0","52","f","turned the device in at 7:45 , checked now but no data seems to have been recorded. I charged all three overnight. ","f"
"206","21","2018-03-29 07:30:37.466+00","2018-03-29 07:30:14.078+00","0","52","f","turned Bluetooth off and on again and now it works😀","f"
"207","22","2018-04-09 08:35:26.101+00","2018-04-09 08:34:56.747+00","0","52","f","stopped tracking. not sure why. will turn off and on again","f"
"208","23","2018-04-09 08:54:50.865+00","2018-04-09 08:54:03.421+00","0","52","f","it is not receiving data at the moment. WiFi is not working. I've tried to connect several times. ","f"
"209","24","2018-04-09 10:35:24.226+00","2018-04-09 10:34:11.031+00","0","52","f","the phone and device are not communicating today. I've spend a lot of time sorting it out. but still not working. I've to get on with work now. I'll try again tomorrow","f"
"210","25","2018-04-10 08:13:23.252+00","2018-04-10 08:12:14.67+00","0","52","f","the app is again not working properly. I see just one time point for all slots. eduroam is not connected.","f"
"211","26","2018-04-12 10:36:37.218+00","2018-04-12 10:35:41.509+00","0","52","f","there's no data for the last hour. I wasn't aware there was a problem. I mainly sat at my desk. I'll try and solve the issue","f"
"212","26","2018-04-12 10:36:37.218+00","2018-04-12 10:35:41.509+00","0","52","f","there's no data for the last hour. I wasn't aware there was a problem. I mainly sat at my desk. I'll try and solve the issue","f"
"213","27","2018-04-13 08:30:49.998+00","2018-04-13 08:30:11.199+00","0","52","f","somehow cancelled the tracking by accident. back on noe","f"
"214","28","2018-04-13 11:31:55.151+00","2018-04-13 11:31:10.205+00","0","52","f","the connection was lost until now. not sure what caused it. phone was always with me. ","f"
"215","12","2018-04-13 13:00:36.789+00","2018-04-13 13:00:22.557+00","0","58","f","just been to the toilet","f"
"216","13","2018-04-17 10:03:40.7+00","2018-04-17 10:02:16.988+00","0","58","f","today I have been to the printer at least 10 times this am
toilet once and 2 drinks","f"
"217","29","2018-04-19 09:01:09.203+00","2018-04-19 09:00:38.722+00","0","52","f","I've had trouble starting the phone this morning. it's working now","f"
"218","30","2018-04-23 08:08:40.154+00","2018-04-23 08:07:58.061+00","0","52","f","I didn't realize it wasn't working. ","f"
"219","31","2018-04-23 09:20:31.903+00","2018-04-23 09:19:40.488+00","0","52","f","the connection is very intermittent today. again not connected. ","f"
"220","1","2018-04-23 10:14:24.835+00","2018-04-23 09:20:12.023+00","1200000","51","t","making a drink and chatting in the kitchen","f"
"221","32","2018-04-24 08:15:11.784+00","2018-04-24 08:14:48.771+00","0","52","f","the tracking was turned off by accident. sorry","f"
"222","33","2018-04-24 10:50:44.578+00","2018-04-24 10:50:34.714+00","0","52","f","in a seminar","f"
"223","34","2018-04-25 08:54:28.442+00","2018-04-25 08:53:47.323+00","0","52","f","wrist device has been connected but no data showing since start","f"
"224","35","2018-04-30 10:38:47.769+00","2018-04-30 10:37:25.93+00","0","52","f","the gaps are appearing because I am not using the wristband. by putting the sensor in my pocket or on my lanyard it seems to stop. I'm looking for another option to wear it. ","f"
"225","36","2018-05-02 10:04:09.147+00","2018-05-02 10:03:49.928+00","0","52","f","the wrist device is not working well today. ","f"
"226","14","2018-05-02 14:11:52.894+00","2018-05-02 13:10:14.638+00","360000","58","f","went to make tea","f"
"227","37","2018-05-03 07:13:21.316+00","2018-05-03 07:13:08.61+00","0","52","f","tracking stopped unexpectedly","f"
"228","15","2018-05-09 06:28:25.01+00","2018-05-09 06:28:09.216+00","0","58","f","went for a coffee","f"
"229","38","2018-05-09 08:29:42.394+00","2018-05-09 08:29:23.015+00","0","52","f","tracking was unexpectedly cancelled","f"
"230","39","2018-06-05 13:38:00.348+00","2018-06-05 12:56:26.375+00","0","52","f","","f"
